z,d_L,Δd_L
1.233599798171653161e-01,5.962867593492497917e+02,4.119003009681931360e+01
1.102576565137518977e-01,5.284446225877881034e+02,3.650366131330516595e+01
1.276910556101160665e-01,6.189366833597968025e+02,4.275463141834332248e+01
1.182982074422422036e-01,5.699562718255373284e+02,3.937118445491833540e+01
1.135303677502712549e-01,5.452942528566272813e+02,3.766759253768987747e+01
1.196941511867362917e-01,5.772025433616767032e+02,3.987173915948538649e+01
1.053031626053326786e-01,5.030588612328195950e+02,3.475007504319751916e+01
1.414050941560932584e-01,6.913817499205111972e+02,4.775895932805319433e+01
1.091702099706110679e-01,5.228601140306345769e+02,3.611789712864318602e+01
1.440890667197700648e-01,7.056879687909126915e+02,4.874719791729609142e+01
1.323952718976737220e-01,6.436630848573772710e+02,4.446267072309475310e+01
1.499234773241163721e-01,7.369300482634681657e+02,5.090532431132533731e+01
1.471423835335973762e-01,7.220134356613143609e+02,4.987492121685474444e+01
1.133739164309258696e-01,5.444872982359509024e+02,3.761185008728111256e+01
1.349095528188309356e-01,6.569318711750270268e+02,4.537924601040906225e+01
1.363597881858070460e-01,6.646020826965873312e+02,4.590908545169874344e+01
1.304724631715390992e-01,6.335406815348718510e+02,4.376343987322452023e+01
1.230985809951786886e-01,5.949232862884936139e+02,4.109584471448743415e+01
1.337700167955186981e-01,6.509135416652397907e+02,4.496351453599019976e+01
1.114866128614681595e-01,5.347643990107433183e+02,3.694021600278172457e+01
1.135099199593967989e-01,5.451887776081791799e+02,3.766030656564718271e+01
1.042505298494210697e-01,4.976844802930992273e+02,3.437882596012137526e+01
1.093091389540498531e-01,5.235731781835442007e+02,3.616715385530832805e+01
1.244283988097577287e-01,6.018639038460985375e+02,4.157528559021685055e+01
1.210880601276975860e-01,5.844498081909584926e+02,4.037236247831191349e+01
1.216605786417735841e-01,5.874298094085155526e+02,4.057821366973143995e+01
1.356595016903918427e-01,6.608967764117953720e+02,4.565313196120857242e+01
1.472851547555347751e-01,7.227781182438193355e+02,4.992774361831518348e+01
1.006353033470904351e-01,4.792774969404771923e+02,3.310731659587926856e+01
1.294338315663499384e-01,6.280819465528197725e+02,4.338636381933617514e+01
1.081926229374595427e-01,5.178458552842904510e+02,3.577152440539077105e+01
1.374882970446946184e-01,6.705791800283780049e+02,4.632196870816541434e+01
1.627912066680470282e-01,8.065219238110314564e+02,5.571256076820481695e+01
1.742386971281306152e-01,8.692187389033956606e+02,6.004350332250127309e+01
1.724863861834979029e-01,8.595739646485649246e+02,5.937726591976729651e+01
1.625512755476797577e-01,8.052157214337407822e+02,5.562233150453333508e+01
1.739124899483525666e-01,8.674219886225444043e+02,5.991938821012564631e+01
1.945441213736731345e-01,9.822175698996319397e+02,6.784918603583189167e+01
1.938404498382176877e-01,9.782638985883904752e+02,6.757607609711600105e+01
1.910555959765724288e-01,9.626432495718753444e+02,6.649703989006641791e+01
1.509230874334053230e-01,7.423023742965947349e+02,5.127643144648276774e+01
1.630280290887779204e-01,8.078115208178072635e+02,5.580164297351797131e+01
1.503347864469256612e-01,7.391399037062292336e+02,5.105797571733053530e+01
1.897271345725838332e-01,9.552066064058235497e+02,6.598333477918440337e+01
1.827629472625166562e-01,9.163796006423690415e+02,6.330126023888868048e+01
1.711790665357071639e-01,8.523895899267055256e+02,5.888098689565619281e+01
1.522765870588328740e-01,7.495857679339233073e+02,5.177955045495438213e+01
1.953775899285493112e-01,9.869040007849231415e+02,6.817291321270644744e+01
1.929708801731837287e-01,9.733818241834266018e+02,6.723883434468328346e+01
1.862835999674431475e-01,9.359748308106221657e+02,6.465485078526488394e+01
1.896215930198946187e-01,9.546162045526406246e+02,6.594255126400395284e+01
1.921538346226375760e-01,9.687983871532931062e+02,6.692222173127541396e+01
1.637544702238381000e-01,8.117692699631214737e+02,5.607503459903228560e+01
1.577907399382095233e-01,7.793663396391991682e+02,5.383671946903663752e+01
1.803995949518111819e-01,9.032639491293779201e+02,6.239526312912713024e+01
1.674934068683490984e-01,8.321865028332451857e+02,5.748540708044033209e+01
1.981038118307613116e-01,1.002259312556608279e+03,6.923362057221919486e+01
1.670758816002954616e-01,8.299026224913184251e+02,5.732764221555525097e+01
1.881113905656187357e-01,9.461747658685462739e+02,6.535943733768138486e+01
1.669193458353690485e-01,8.290466176796596756e+02,5.726851149798955021e+01
1.619250785217145883e-01,8.018081907369735291e+02,5.538694762294445439e+01
1.855969114620784621e-01,9.321475175449348853e+02,6.439046935111119296e+01
1.851959386884247660e-01,9.299138606353091063e+02,6.423617379802216476e+01
1.712499805695099353e-01,8.527790531952570063e+02,5.890789006514925319e+01
1.571542292048694334e-01,7.759198668345699161e+02,5.359864556193617346e+01
1.904421901167879794e-01,9.592082454347163321e+02,6.625975821044855252e+01
1.853881843369702964e-01,9.309846731110042128e+02,6.431014290333999384e+01
1.682756564370156138e-01,8.364680730816163532e+02,5.778116747529551844e+01
1.674701387678316222e-01,8.320591996241037123e+02,5.747661328629054367e+01
1.977800700409428347e-01,1.000433747782425144e+03,6.910751502515931577e+01
1.511019374641393576e-01,7.432641933035741886e+02,5.134287154971164568e+01
1.633658317508164814e-01,8.096515450089920023e+02,5.592874734171908102e+01
1.798814205743169692e-01,9.003924116815408070e+02,6.219690434948621771e+01
1.667759466563799031e-01,8.282625701302405332e+02,5.721435141200481667e+01
