z,SNR,m1,m2,Mc,eta,dL,iota,theta,phi,psi
0.959594,293.038993,52391.047036,19183.772084,52787.209571,0.196187,6447.017997,1.265873,1.750366,4.390292,1.590547
1.041801,241.009529,21281.248762,7483.072569,21851.881285,0.192473,7133.837198,1.546587,2.501704,0.740067,0.314383
1.376798,87.686788,10603.028524,2157.236731,9341.507522,0.140478,10059.059586,1.136043,1.049336,1.374021,0.404937
0.991781,2875.074818,115638.377076,77850.954513,163881.430443,0.240465,6714.282248,1.037048,2.223217,5.812972,0.362248
1.101761,467.971630,109744.592244,27753.697764,96637.608092,0.161105,7643.197753,1.512628,1.998472,4.554308,5.437743
1.408262,197.461687,4545273.144425,2001073.547939,6220105.640786,0.212239,10342.843968,1.072982,0.983012,2.934273,4.211193
0.916777,529.318494,24224.431728,15237.042404,31888.154957,0.237032,6094.924690,0.989849,1.963755,0.894150,5.728149
0.895869,1107.988396,851491.978285,178241.176928,608102.270803,0.143133,5924.479684,0.515706,1.501355,4.070392,2.487423
1.175506,249.498337,1328981.523347,978036.127507,2154142.802940,0.244215,8278.719597,1.562231,2.442768,1.308983,1.521820
1.204917,351.630030,1177760.885892,208758.318566,890077.051790,0.127894,8534.809297,1.349865,2.652946,0.757975,4.512022
0.992646,1202.002134,58643.144608,49911.311615,93788.648439,0.248382,6721.491095,0.789070,2.542816,4.362850,6.110197
0.847064,835.184901,14716.924641,10228.730076,19663.750296,0.241907,5530.532904,0.187478,1.623716,5.357738,0.734842
1.109598,2474.400151,187055.012983,100435.485862,249338.234561,0.227305,7710.273376,0.740027,1.282784,0.374742,3.323495
1.197359,2054.874499,183521.310328,83613.125830,233416.493646,0.215031,8468.856591,0.164629,2.283361,4.361534,5.398047
1.319668,1581.992108,146951.735754,67570.272598,198284.943634,0.215768,9547.425225,0.625503,0.835320,1.362901,3.739807
1.024197,655.355115,41956.129877,26833.405903,58834.347786,0.237918,6985.603708,1.106636,1.465477,1.780155,5.359240
1.251917,1477.111672,101892.401352,32637.698820,109623.902056,0.183748,8947.033660,0.990290,1.727294,0.162490,4.978457
1.078492,898.322567,799076.072157,257742.177291,796549.074058,0.184405,7444.723655,1.184673,1.201378,3.368070,3.899099
0.972839,527.523376,32634.731395,19941.221402,43550.520543,0.235428,6556.736124,0.800986,1.126925,4.506069,4.041986
1.133367,3173.035360,110471.643340,71584.669562,164386.807252,0.238594,7914.389739,0.637952,0.613480,2.617917,2.792518
1.107261,344.417617,1675276.297806,374196.237080,1379435.789202,0.149246,7690.264731,1.361967,1.781762,2.333245,1.288349
1.062541,733.496471,246539.728827,28047.683166,135063.124896,0.091711,7309.249346,1.192523,1.412507,4.929726,5.092514
