z,cnt
0.046751034562549252,32876
0.120250663033005676,81880
0.169250415346643292,101957
0.291749796130737332,89762
0.340749548444374948,69151
0.414249176914831372,36447
0.438749053071650180,27658
0.022251158405730444,15220
0.071250910719368060,55209
0.095750786876186868,67510
0.144750539189824484,96658
0.193750291503462100,109927
0.218250167660280908,109520
0.242750043817099716,104337
0.267249919973918524,100914
0.316249672287556140,78164
0.365249424601193756,57868
0.389749300758012564,47583
0.463248929228468988,19541
0.487748805385287796,13211
